ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address
1062,OJR0063CZ,Hues Classic Oval American Diamond in 925 Silver Ring,https://www.ornatejewels.com/hues-classic-oval-american-diamond-in-925-silver-ring.html,https://www.ornatejewels.com/https://ornate-bc57.kxcdn.com/image/cache/catalog/images_rings_june2017/hues-classic-oval-american-diamond-in-925-silver-ring-1062-400x400.jpg,Buy  Hues Classic Oval American Diamond in 925 Silver Ring Online in India,Get classic oval shaped american diamond halo ring  in sterling silver ring for women and girls at Ornate Jewels. This is the bestselling and popular ring at low cost. ✅ Lifetime Guarantee ✅ 100% Pure Silver ✅ Anti tarnish,Rings,1299 INR,974.25 INR,,
816,SR04838B,1 Carat  Marquise Six Stone Silver Ring,https://www.ornatejewels.com/1-carat-marquise-six-stone-silver-ring.html,https://www.ornatejewels.com/https://ornate-bc57.kxcdn.com/image/cache/catalog/1-carat-marquise-six-stone-silver-ring-816-400x400.jpg,Buy 1 Carat Marquise Six Stone Silver Ring Online in India,Shop 925 sterling silver 1 carat marquise cut six stone rings for women and girls with low price at ornate Jewels. Find American diamond rings in various design at our silver jewelry online shopping store. ✅ Lifetime Guarantee ✅ 100% Skin Friendly ✅ Anti tarnish,Rings,2399 INR,1559.35 INR,,
774,OJS0012E,1.20 Carats American Diamond Pear Studs in 925 Silver,https://www.ornatejewels.com/american-diamond-pear-studs-in-925-silver.html,https://www.ornatejewels.com/https://ornate-bc57.kxcdn.com/image/cache/catalog/american-diamond-pear-studs-in-925-silver-774-400x400.jpg,Buy American Diamond Pear Studs in 925 Silver Online in India,Buy american diamond pear shaped stud earrings for women and girls with low price from online silver jewelry shopping store in India. Get various designs of american diamond studs at Ornate Jewels store. Buy Now!,Solitaire Stories,649 INR,421.85 INR,,
833,ML01545G,1.25 Carat Pearl Dome 925 Silver Ring,https://www.ornatejewels.com/1-25-carat-pearl-dome-925-silver-ring.html,https://www.ornatejewels.com/https://ornate-bc57.kxcdn.com/image/cache/catalog/ML01545G/FRONT-400x400.jpg,Buy Simple Pearl Dome 925 Silver Ring online in India,Shop sterling silver pearl ring at low price from Orante Jewels. This ring design includes single big pearl surrounded with small AAA grade American diamonds. ✅ Free Shipping ✅ Lifetime Guarantee ✅ Anti Tarnish ✅ 100% Skin Friendly.,Rings,2599 INR,1949.25 INR,,
1078,R01429,1.5 Carat Halo Solitaire Ring,https://www.ornatejewels.com/15-carat-halo-solitaire-ring.html,https://www.ornatejewels.com/https://ornate-bc57.kxcdn.com/image/cache/catalog/images_rings_june2017/1-5-carat-halo-solitaire-ring-1078-400x400.jpg,Buy 1.5 Carat Halo Solitaire Ring in Pure Silver Online in India,Shop 925 silver 1.5 carat halo solitaire ring from the manufacture at low price. This trendy American diamond ring design is very popular in women and girls. Free Shipping. Lifetime guarantee.,Rings,1599 INR,1199.25 INR,,
1053,OJP0149,1.50 Carat Solitaire Pendant Necklace,https://www.ornatejewels.com/1-50-carat-solitaire-pendant-necklace.html,https://www.ornatejewels.com/https://ornate-bc57.kxcdn.com/image/cache/catalog/1-50-carat-solitaire-pendant-necklace-1053-400x400.jpg,Buy 1.50 Carat Solitaire Pendant Necklace Online in India,Get Best Deals on 1.50 Carat Solitaire Pendant Necklace at Ornate Jewels. Buy 1.50 Carat Solitaire Pendant Necklace Online with Amazing Designs and Free Shipping Available Across India.1.50 Carat Solitaire Pendant Necklace - Universally all women love sol,Solitaire Stories,1299 INR,844.35 INR,,
977,SR00746A,10MM Single Pearl 925 Silver Ring,https://www.ornatejewels.com/10mm-single-pearl-925-silver-ring.html,https://www.ornatejewels.com/https://ornate-bc57.kxcdn.com/image/cache/catalog/images_rings_june2017/10mm-single-pearl-925-silver-ring-977-400x400.jpg,Buy 10MM Single Pearl 925 Silver Ring Online in India,Shop 925 sterling silver 10mm single pearl ring with low price from online jewelry shopping store in India. This trendy and unique designed  pearl ring looks very pretty with every attire. ✅ Lifetime Guarantee ✅ 100% Skin Friendly ✅ Anti tarnish,Rings,2299 INR,1724.25 INR,,
703,SPB0065C,18K Yellow Gold Heart of Emerald Pendant,https://www.ornatejewels.com/18k-yellow-gold-heart-of-emerald-pendant.html,https://www.ornatejewels.com/https://ornate-bc57.kxcdn.com/image/cache/catalog/jpg/newproducts/18k-yellow-gold-heart-of-emerald-pendant-703-400x400.jpg,Buy 18K Yellow Gold Heart of Emerald Pendant Online in India,Get Best Deals on 18K Yellow Gold Heart of Emerald Pendant at Ornate Jewels. Buy 18K Yellow Gold Heart of Emerald Pendant Online with Amazing Designs and Free Shipping Available Across India.18K Yellow Gold Heart of Emerald Pendant - You are sure to love,Necklaces,2549 INR,1529.4 INR,,
575,ML02119K,18K Yellow Gold Plated 2 Carat Stunning Solitaire Ring in 925 Silver,https://www.ornatejewels.com/18k-yellow-gold-plated-2-carat-stunning-solitaire-ring-in-925-silver.html,https://www.ornatejewels.com/https://ornate-bc57.kxcdn.com/image/cache/catalog/18k-yellow-gold-plated-2-carat-stunning-solitaire-ring-in-925-silver-575-400x400.png,Buy 18K Yellow Gold Plated 2 Carat Stunning Solitaire Ring,Shop sterling 2 carat stunning solitaire ring in 18K yellow gold plating with low price from Ornate Jewels. This solitaire ring is a perfect choice as a party ring  engagement ring or wedding ring. Buy Now!,Rings,2549 INR,1529.4 INR,,
378,OJR0102EM,18K Yellow Gold Plated Amelia Ring In 925 Silver And Created Emerald,https://www.ornatejewels.com/18k-yellow-gold-plated-amelia-ring-in-925-silver-and-created-emerald.html,https://www.ornatejewels.com/https://ornate-bc57.kxcdn.com/image/cache/catalog/rings/18k-yellow-gold-plated-amelia-ring-in-925-silver-and-created-emerald-378-400x400.jpg,Buy 18K Yellow Gold Plated Created Emerald Ring In 925 Silver Online in India,Get 925 sterling silver 18K yellow gold plated emerald at Ornate Jewels. Buy emerald ring with low price and amazing designs from our silver rings collection. ✅ Lifetime Guarantee ✅ 100% Skin Friendly ✅ Anti tarnish,Rings,1449 INR,869.4 INR,,
